confidence,robustness,distribution,reliability
0.8421813942418606,1.0,0.9379210024110692,0.9243943900473991
0.9552873904412587,0.9999999999999999,0.863007394412393,0.9376689190813383
0.995952727101967,1.0,0.7940772846496585,0.9247702130657075
0.7982574095823014,0.9999999999999996,0.7306527592685479,0.8355093782842854
0.7642029295438214,0.9999999999999999,0.6722940763407871,0.8009203484250405
0.5955165096525661,0.9999999999999999,0.6185966169968151,0.7168590662419467
0.5955165096525661,0.9999999999999999,0.5691880800775232,0.6972414555669555
0.5948315160994033,0.9999999999999999,0.5237259008547165,0.6779005835339119
0.5948315160994033,0.9999999999999998,0.4818948759234842,0.659349113167728
0.5948315160994033,0.9999999999999999,0.443404977799121,0.6413053235162491
0.5948315160994033,0.9999999999999999,0.4079893440665194,0.6237553213568359
0.5948315160994033,1.0,0.3754024271401824,0.606685593669661
0.40098839177397394,1.0,0.3454182918065695,0.5173991499224836
0.40098839177397394,1.0,0.3178290487451069,0.5032399719686331
0.40098839177397394,0.9999999999999998,0.2924434131669756,0.48946827497674195
0.40098839177397394,1.0,0.26908537857827586,0.47607345511822813
0.40098839177397394,0.9999999999999998,0.24759299647235358,0.46304519874955546
0.40098839177397394,1.0,0.22781725349051732,0.45037347447101106
0.40098839177397394,1.0,0.2096210382661527,0.43804852540280265
0.40098839177397394,1.0,0.19287819078904336,0.4260608616725293
0.40098839177397394,0.9999999999999998,0.17747262769884659,0.41440125310823994
0.40098839177397394,0.9999999999999998,0.16329753744311157,0.40306072213145494
0.40098839177397394,0.9999999999999998,0.1502546397196199,0.3920305368446764
0.40098839177397394,1.0,0.13825350406853376,0.3813022043080673
0.40098839177397394,0.9999999999999998,0.12721092288993865,0.37086746400012094
0.40098839177397394,1.0,0.11705033453971642,0.360718281457286
0.40098839177397394,0.9999999999999998,0.1077012925038935,0.3508468420876503
0.40098839177397394,0.9999999999999998,0.09909897697108563,0.34124554515391986
0.40098839177397394,0.9999999999999998,0.09118374541661833,0.33190699792105927
